character,skillType,skillTitle,enhancement,valueText,valuePercent
秧秧·玄翎,常态攻击,济善伐恶,暴击提升,暴击提升1.20%,1.2
秧秧·玄翎,常态攻击,济善伐恶,暴击提升,暴击提升2.80%,2.8
秧秧·玄翎,共鸣技能,羽拭苍锋,攻击提升,攻击提升1.80%,1.8
秧秧·玄翎,共鸣技能,羽拭苍锋,攻击提升,攻击提升4.20%,4.2
秧秧·玄翎,共鸣解放,裁羽寂万音,攻击提升,攻击提升1.80%,1.8
秧秧·玄翎,共鸣解放,裁羽寂万音,攻击提升,攻击提升4.20%,4.2
秧秧·玄翎,变奏技能,羽挟苍空,暴击提升,暴击提升1.20%,1.2
秧秧·玄翎,变奏技能,羽挟苍空,暴击提升,暴击提升2.80%,2.8
漂泊者-女-导电,常态攻击,止戈,暴击提升,暴击提升1.20%,1.2
漂泊者-女-导电,常态攻击,止戈,暴击提升,暴击提升2.80%,2.8
漂泊者-女-导电,共鸣技能,雷引,攻击提升,攻击提升1.80%,1.8
漂泊者-女-导电,共鸣技能,雷引,攻击提升,攻击提升4.20%,4.2
漂泊者-女-导电,共鸣解放,最终战略,攻击提升,攻击提升1.80%,1.8
漂泊者-女-导电,共鸣解放,最终战略,攻击提升,攻击提升4.20%,4.2
漂泊者-女-导电,变奏技能,不啻惊雷,暴击提升,暴击提升1.20%,1.2
漂泊者-女-导电,变奏技能,不啻惊雷,暴击提升,暴击提升2.80%,2.8
漂泊者-男-导电,常态攻击,止戈,暴击提升,暴击提升1.20%,1.2
漂泊者-男-导电,常态攻击,止戈,暴击提升,暴击提升2.80%,2.8
漂泊者-男-导电,共鸣技能,雷引,攻击提升,攻击提升1.80%,1.8
漂泊者-男-导电,共鸣技能,雷引,攻击提升,攻击提升4.20%,4.2
漂泊者-男-导电,共鸣解放,最终战略,攻击提升,攻击提升1.80%,1.8
漂泊者-男-导电,共鸣解放,最终战略,攻击提升,攻击提升4.20%,4.2
漂泊者-男-导电,变奏技能,不啻惊雷,暴击提升,暴击提升1.20%,1.2
漂泊者-男-导电,变奏技能,不啻惊雷,暴击提升,暴击提升2.80%,2.8
陆·赫斯,常态攻击,光犹如此,暴击提升,暴击提升1.20%,1.2
陆·赫斯,常态攻击,光犹如此,暴击提升,暴击提升2.80%,2.8
陆·赫斯,共鸣技能,所有陨落在此重逢,攻击提升,攻击提升1.80%,1.8
陆·赫斯,共鸣技能,所有陨落在此重逢,攻击提升,攻击提升4.20%,4.2
陆·赫斯,共鸣解放,于永冻中释义,攻击提升,攻击提升1.80%,1.8
陆·赫斯,共鸣解放,于永冻中释义,攻击提升,攻击提升4.20%,4.2
陆·赫斯,变奏技能,注入黎明以前,暴击提升,暴击提升1.20%,1.2
陆·赫斯,变奏技能,注入黎明以前,暴击提升,暴击提升2.80%,2.8
琳奈,常态攻击,泛彩流光,暴击提升,暴击提升1.20%,1.2
琳奈,常态攻击,泛彩流光,暴击提升,暴击提升2.80%,2.8
琳奈,共鸣技能,琳奈式创想,攻击提升,攻击提升1.80%,1.8
琳奈,共鸣技能,琳奈式创想,攻击提升,攻击提升4.20%,4.2
琳奈,共鸣解放,爆炸喷涂,攻击提升,攻击提升1.80%,1.8
琳奈,共鸣解放,爆炸喷涂,攻击提升,攻击提升4.20%,4.2
琳奈,变奏技能,来点儿颜色瞧瞧！,暴击提升,暴击提升1.20%,1.2
琳奈,变奏技能,来点儿颜色瞧瞧！,暴击提升,暴击提升2.80,2.8
洛瑟菈,常态攻击,抓拍,暴击提升,暴击提升1.20%,1.2
